"OFFENCE_SUBCAT","GENDER","COUNT(PE.GENDER)"
"animalTheft","female","182"
"animalTheft","male","1306"
"arson","male","1"
"assault","male","1"
"bigamy","female","18"
"bigamy","male","120"
"burglary","female","111"
"burglary","male","872"
"coiningOffences","female","50"
"coiningOffences","male","258"
"conspiracy","male","6"
"embezzlement","female","83"
"embezzlement","male","588"
"extortion","male","16"
"forgery","female","6"
"forgery","male","88"
"fraud","female","20"
"fraud","male","155"
"gameLawOffence","male","1"
"grandLarceny","female","1232"
"grandLarceny","male","6529"
"highwayRobbery","female","31"
"highwayRobbery","male","157"
"housebreaking","female","89"
"housebreaking","male","472"
"kidnapping","female","18"
"kidnapping","male","20"
"manslaughter","female","2"
"manslaughter","male","14"
"murder","female","5"
"murder","male","21"
"other","female","8"
"other","male","32"
"perjury","female","2"
"perjury","male","16"
"pervertingJustice","female","5"
"pervertingJustice","male","4"
"pettyLarceny","female","1"
"pettyLarceny","male","33"
"pocketpicking","female","953"
"pocketpicking","male","3137"
"receiving","female","112"
"receiving","male","336"
"robbery","female","25"
"robbery","male","89"
"shoplifting","female","152"
"shoplifting","male","155"
"simpleLarceny","female","702"
"simpleLarceny","male","2867"
"stealingFromMaster","female","95"
"stealingFromMaster","male","224"
"taxOffences","male","1"
"theftFromPlace","female","285"
"theftFromPlace","male","1212"
"threateningBehaviour","male","1"
"vagabond","male","1"
"wounding","male","1"
"","female","2"
"","male","1"
