OFFENCE_CAT,OFFENCE_SUBCAT,COUNT(A.OFFENCE_SUBCAT),,,Offense,Sub Category,No.,%,,Sub Category,No.,%,,Crime Category,No.,%,,Crime Category,No.,%
breakingPeace,animalTheft,1,,,breakingPeace,animalTheft,1,0.00%,,animalTheft,16899,23.01%,,illegalAbortion,2,1.13%,,manslaughter,67,38.29%
breakingPeace,assault,20,,,,assault,20,0.03%,,arson,15,0.02%,,manslaughter,67,37.85%,,murder,108,61.71%
breakingPeace,burglary,2,,,,burglary,2,0.00%,,assault,20,0.03%,,murder,108,61.02%,,,,
breakingPeace,simpleLarceny,1,,,,simpleLarceny,1,0.00%,,bigamy,386,0.53%,,,,,,,,
breakingPeace,threateningBehaviour,2,,,,threateningBehaviour,2,0.00%,,burglary,5806,7.90%,,,,,,,,
breakingPeace,vagabond,1,,,,vagabond,1,0.00%,,coiningOffences,2112,2.88%,,,,,,,,
breakingPeace,wounding,106,,,,wounding,106,0.14%,,conspiracy,21,0.03%,,,,,,,,
damage,arson,15,,,damage,arson,15,0.02%,,embezzlement,3440,4.68%,,,,,,,,
damage,fraud,3,,,,fraud,3,0.00%,,extortion,46,0.06%,,,,,,,,
damage,grandLarceny,30,,,,grandLarceny,30,0.04%,,forgery,480,0.65%,,,,,,,,
damage,other,18,,,,other,18,0.02%,,fraud,727,0.99%,,,,,,,,
deception,animalTheft,4689,,,deception,animalTheft,4689,6.38%,,gameLawOffence,5,0.01%,,,,,,,,
deception,bigamy,1,,,,bigamy,1,0.00%,,grandLarceny,19799,26.96%,,,,,,,,
deception,burglary,248,,,,burglary,248,0.34%,,highwayRobbery,521,0.71%,,,,,,,,
deception,coiningOffences,88,,,,coiningOffences,88,0.12%,,housebreaking,2573,3.50%,,,,,,,,
deception,embezzlement,128,,,,embezzlement,128,0.17%,,illegalAbortion,2,0.00%,,,,,,,,
deception,forgery,480,,,,forgery,480,0.65%,,kidnapping,118,0.16%,,,,,,,,
deception,fraud,724,,,,fraud,724,0.99%,,mail,85,0.12%,,,,,,,,
deception,grandLarceny,95,,,,grandLarceny,95,0.13%,,manslaughter,67,0.09%,,,,,,,,
deception,other,3,,,,other,3,0.00%,,murder,108,0.15%,,,,,,,,
deception,perjury,82,,,,perjury,82,0.11%,,other,723,0.98%,,,,,,,,
kill,animalTheft,1667,,,kill,animalTheft,1667,2.27%,,perjury,82,0.11%,,,,,,,,
kill,bigamy,4,,,,bigamy,4,0.01%,,pervertingJustice,32,0.04%,,,,,,,,
kill,grandLarceny,175,,,,grandLarceny,175,0.24%,,pettyLarceny,367,0.50%,,,,,,,,
kill,manslaughter,67,,,,manslaughter,67,0.09%,,piracy,1,0.00%,,,,,,,,
kill,murder,108,,,,murder,108,0.15%,,pocketpicking,8025,10.93%,,,,,,,,
kill,other,3,,,,other,3,0.00%,,rape,48,0.07%,,,,,,,,
miscellaneous,animalTheft,1078,,,miscellaneous,animalTheft,1078,1.47%,,receiving,1108,1.51%,,,,,,,,
miscellaneous,burglary,1060,,,,burglary,1060,1.44%,,returnFromTransportation,30,0.04%,,,,,,,,
miscellaneous,coiningOffences,1196,,,,coiningOffences,1196,1.63%,,robbery,424,0.58%,,,,,,,,
miscellaneous,conspiracy,21,,,,conspiracy,21,0.03%,,seditiousLibel,1,0.00%,,,,,,,,
miscellaneous,embezzlement,1,,,,embezzlement,1,0.00%,,shoplifting,925,1.26%,,,,,,,,
miscellaneous,grandLarceny,113,,,,grandLarceny,113,0.15%,,simpleLarceny,4624,6.30%,,,,,,,,
miscellaneous,housebreaking,1,,,,housebreaking,1,0.00%,,sodomy,1,0.00%,,,,,,,,
miscellaneous,illegalAbortion,2,,,,illegalAbortion,2,0.00%,,stealingFromMaster,530,0.72%,,,,,,,,
