"PRIMARY_ID","UNIQUE_ID","PLACE_NAME","PLACE_TYPE"
"t16840227-20","t16840227-20-crimeloc107","Royal Exchange","crimeLocation"
"t16840227-26","t16840227-26-crimeloc141","Strand","crimeLocation"
"t16840227-3","t16840227-3-crimeloc13","Friday-street","crimeLocation"
"t16840409-21","t16840409-21-crimeloc78","St. Katherines Lane near Tower-Hill","crimeLocation"
"t16840409-23","t16840409-23-crimeloc88","St. Botolphs Aldgate","crimeLocation"
"t16740717-6","t16740717-6-crimeloc19","St Giles's","crimeLocation"
"t16780703-15","t16780703-15-crimeloc67","St. Martins in the fields","crimeLocation"
"t16781211e-11","t16781211e-11-defloc51","White-chappel","defendantHome"
"t16781211e-11","t16781211e-11-crimeloc54","Goodmans Fields","crimeLocation"
"t16790605-13","t16790605-13-crimeloc64","Armitage-stairs","crimeLocation"
"t16830223-17","t16830223-17-crimeloc61","St. Dunstan's in the East","crimeLocation"
"t16830418-7","t16830418-7-crimeloc25","St. Martins Parish","crimeLocation"
"t16830418a-6","t16830418a-6-crimeloc27","the Crown in the Old Palace-Yard Westminster","crimeLocation"
"t16830524-4","t16830524-4-crimeloc17","Alhollows Barkin","crimeLocation"
"t16830712-5","t16830712-5-crimeloc20","Cornhill","crimeLocation"
"t16830712-8","t16830712-8-crimeloc30","Hornzey","crimeLocation"
"t16830829-1","t16830829-1-crimeloc2","Little St. Bartholomews","crimeLocation"
"t16830829-1","t16830829-15-crimeloc62","Amen Corner","crimeLocation"
"t16830829-15","t16830829-15-crimeloc62","Amen Corner","crimeLocation"
"t16830829-4","t16830829-4-crimeloc16","St. Magnes parish","crimeLocation"
"t16831010a-19","t16831010a-19-crimeloc96","Fetter-lane","crimeLocation"
"t16831010a-9","t16831010a-9-crimeloc48","Chelsy","crimeLocation"
"t16831212-23","t16831212-23-crimeloc95","Shoreditch","crimeLocation"
"t16840116-14","t16840116-14-crimeloc65","Woodstreet","crimeLocation"
"t16840116-2","t16840116-2-crimeloc9","Fleet street","crimeLocation"
"t16840227-13","t16840227-13-crimeloc71","Branford","crimeLocation"
"t16840227-16","t16840227-16-crimeloc90","Stepney","crimeLocation"
"t16860520-3","t16860520-3-crimeloc14","St. Michaels Cornhill","crimeLocation"
"t16860520-3","t16860520-3-crimeloc16","Exchange","crimeLocation"
"t16860707-19","t16860707-19-defloc100","Stepney","defendantHome"
"t16860707-23","t16860707-23-defloc120","St. Leonard Shorditch","defendantHome"
"t16860901-18","t16860901-18-defloc87","St. Lawrence Jury","defendantHome"
"t16860901-2","t16860901-2-defloc7","St. Dunstans in the West","defendantHome"
"t16861013-10","t16861013-10-defloc54","St. Ann Agnes","defendantHome"
"t16861013-4","t16861013-4-defloc17","St. Andrews Holbourn","defendantHome"
"t16861208-25","t16861208-25-defloc126","St Dunstans in the West","defendantHome"
"t16840409-30","t16840409-30-crimeloc127","New Fish street","crimeLocation"
"t16840515-18","t16840515-18-crimeloc62","the Roe-Buck in Fleet-street","crimeLocation"
"t16840702-20","t16840702-20-crimeloc84","Stepney","crimeLocation"
"t16840903-26","t16840903-26-crimeloc118","Lombard-street","crimeLocation"
"t16840903-36","t16840903-36-defloc154","St. Andrew Holborn","defendantHome"
"t16841210-1","t16841210-1-crimeloc2","Coleman-street","crimeLocation"
"t16841210-4","t16841210-4-crimeloc15","St. Mary Woolnoth","crimeLocation"
"t16850116-11","t16850116-11-crimeloc56","St. Giles's in the fields","crimeLocation"
"t16850116-18","t16850116-18-crimeloc89","Ax in Alderman-bury","crimeLocation"
"t16850116-25","t16850116-25-crimeloc128","White-Chappel","crimeLocation"
"t16850116-30","t16850116-30-crimeloc151","St. Mary Wool-church","crimeLocation"
"t16850116-31","t16850116-31-crimeloc156","St. Laurence-lane","crimeLocation"
"t16850429-14","t16850429-14-defloc54","St. Mildred","defendantHome"
"t16850429-15","t16850429-15-defloc60","St. Sepulchres","defendantHome"
"t16850429-16","t16850429-16-defloc65","St. Margarets, Westminster","defendantHome"
"t16850429-18","t16850429-18-defloc72","Wilsdon","defendantHome"
"t16850429-20","t16850429-20-defloc83","St. Andrews Holborn","defendantHome"
"t16850429-3","t16850429-3-defloc11","St. Martins in the Fields","defendantHome"
"t16850429-40","t16850429-40-defloc159","St. Martins in the Fields","defendantHome"
"t16850429-44","t16850429-44-defloc174","St. Martins in the Fields","defendantHome"
"t16850429-51","t16850429-51-defloc196","St. Martins in the Fields","defendantHome"
"t16850604-15","t16850604-15-defloc63","St. Martins in the Fields","defendantHome"
"t16850604-25","t16850604-25-defloc108","St. Edmunds Lumbard street","defendantHome"
"t16850604-25","t16850604-25-crimeloc111","Lumbard-street","crimeLocation"
"t16850604-31","t16850604-31-defloc135","Stepney","defendantHome"
"t16850716-27","t16850716-27-defloc127","St. Martins in the Fields","defendantHome"
"t16850716-53","t16850716-53-defloc252","St. James Midd","defendantHome"
"t16851014-1","t16851014-1-defloc1","St. Dunstans in the West","defendantHome"
"t16851014-11","t16851014-11-crimeloc52","Hellingdon","crimeLocation"
"t16851014-1","t16851014-11-crimeloc52","Hellingdon","crimeLocation"
"t16851014-1","t16851014-13-defloc61","St. Dunstans in the West","defendantHome"
"t16851014-13","t16851014-13-defloc61","St. Dunstans in the West","defendantHome"
"t16851209-11","t16851209-11-crimeloc51","St. Giles's Cripple-gate","crimeLocation"
"t16851209-30","t16851209-30-crimeloc141","St. Sepulchres","crimeLocation"
"t16851209-38","t16851209-38-crimeloc179","St Martins in the Fields","crimeLocation"
"t16851209-40","t16851209-40-crimeloc191","St. Andrews Holborn","crimeLocation"
"t16860114-1","t16860114-1-defloc1","St. Giles's Cripple-Gate","defendantHome"
"t16860114-1","t16860114-14-crimeloc65","St. Pauls Covent-Garden","crimeLocation"
"t16860114-14","t16860114-14-crimeloc65","St. Pauls Covent-Garden","crimeLocation"
"t16860224-10","t16860224-10-defloc54","St. Andrews Holbourn","defendantHome"
"t16860224-11","t16860224-11-defloc58","St. James's Clarkenwell","defendantHome"
"t16860224-12","t16860224-12-defloc63","St. Martins","defendantHome"
"t16860224-19","t16860224-19-defloc106","St. Gregories","defendantHome"
"t16860224-19","t16860224-19-crimeloc110","St. Pauls Church-Yard","crimeLocation"
"t16860224-20","t16860224-20-defloc113","St. Mary Marfellon","defendantHome"
"t16860224-26","t16860224-26-defloc144","St. Bennedict","defendantHome"
"t16860414-1","t16860414-1-defloc1","St. Buttolph","defendantHome"
"t16860414-1","t16860414-14-defloc71","St. Matfellon alias White Chappell","defendantHome"
"t16860414-14","t16860414-14-defloc71","St. Matfellon alias White Chappell","defendantHome"
"t16860520-13","t16860520-13-defloc72","St. Martins in the Field","defendantHome"
"t16860520-16","t16860520-16-defloc86","St. Giles's in the Fields","defendantHome"
"t16891211-1","t16891211-1-defloc2","St. Alhallows Lumbard street","defendantHome"
"t16891211-27","t16891211-27-crimeloc120","Safforn-Hill","crimeLocation"
"t16891211-8","t16891211-8-defloc31","Northern-Falgate","defendantHome"
"t16900115-11","t16900115-11-defloc40","St. Andrew's Holbourn","defendantHome"
"t16900430-21","t16900430-21-crimeloc94","Red-Lyon Square","crimeLocation"
"t16861208-6","t16861208-6-defloc30","St. Anne Agnes","defendantHome"
"t16870114-21","t16870114-21-defloc112","St. Martins in the Fields","defendantHome"
"t16870114-4","t16870114-4-defloc17","St. Michael-Bashaw","defendantHome"
"t16870114-7","t16870114-7-defloc32","St. Andrews Holbourn alias Ward","defendantHome"
"t16870223-19","t16870223-19-crimeloc87","St. Giles's Cripplegate","crimeLocation"
"t16870223-19","t16870223-19-crimeloc92","St. Giles Cripplegate","crimeLocation"
"t16870223-37","t16870223-37-defloc174","St. Margaret Westminster","defendantHome"
"t16870223-37","t16870223-37-crimeloc177","Hill Tavern in Westminster","crimeLocation"
"t16870406-40","t16870406-40-defloc198","St. Pancrass in the County of Middlesex","defendantHome"
"t16870406-43","t16870406-43-crimeloc213","St. James's Westminster","crimeLocation"
"t16870406-46","t16870406-46-crimeloc228","St. Martins in the Fields","crimeLocation"
"t16870512-15","t16870512-15-crimeloc73","Thistleworth","crimeLocation"
"t16870512-24","t16870512-24-defloc111","St. Andrews Holbourn","defendantHome"
"t16870512-5","t16870512-5-crimeloc24","St. Edmunds the King, in the Ward of Longhorne","crimeLocation"
"t16870701-39","t16870701-39-crimeloc171","St. Botolphs Aldgate","crimeLocation"
"t16871012-13","t16871012-13-crimeloc65","Mark-Lane","crimeLocation"
"t16871012-13","t16871012-13-crimeloc70","St. Alhollows Barking","crimeLocation"
"t16871012-25","t16871012-25-crimeloc132","Thistleworth","crimeLocation"
"t16871207-14","t16871207-14-crimeloc60","St. Andrews Holbourn","crimeLocation"
"t16871207-25","t16871207-25-crimeloc117","Stepney","crimeLocation"
"t16871207-5","t16871207-5-defloc16","St. Dunstans in the West","defendantHome"
"t16880222-11","t16880222-11-defloc52","Fulham","defendantHome"
"t16880222-13","t16880222-13-defloc62","Stepney","defendantHome"
"t16880222-16","t16880222-16-defloc76","Hornsey","defendantHome"
"t16880222-21","t16880222-21-defloc103","St. Matin's in the Fields","defendantHome"
"t16880425-17","t16880425-17-defloc76","St. Nicholas Cole-Abby","defendantHome"
"t16880425-2","t16880425-2-crimeloc12","St. Botolph Bishopsgate","crimeLocation"
"t16880425-37","t16880425-37-crimeloc183","St. Giles's Church","crimeLocation"
"t16880531-37","t16880531-37-crimeloc159","Thames","crimeLocation"
"t16880831-15","t16880831-15-defloc74","St. Andrew's Holbourn","defendantHome"
"t16880831-29","t16880831-29-defloc149","St. Giles's in the Fields","defendantHome"
"t16880831-4","t16880831-4-defloc18","St. Clement's Danes","defendantHome"
"t16890516-57","t16890516-57-defloc255","St. Andrews Holbourn","defendantHome"
"t16890703-5","t16890703-5-defloc19","St. Mary Aldermary","defendantHome"
"t16890828-12","t16890828-12-defloc51","St. Clements Danes","defendantHome"
"t16890828-12","t16890828-12-crimeloc55","Clements Inn","crimeLocation"
"t16890828-15","t16890828-15-crimeloc73","Eling","crimeLocation"
"t16890828-2","t16890828-2-defloc6","St. Andrews Holbourn","defendantHome"
"t16890828-2","t16890828-21-defloc100","St. Andrews Holbourn","defendantHome"
"t16890828-21","t16890828-21-defloc100","St. Andrews Holbourn","defendantHome"
"t16971208-8","t16971208-8-defloc35","St. Martins in the Fields","defendantHome"
"t16980504-20","t16980504-20-defloc98","St. Clements Danes","defendantHome"
"t16980504-61","t16980504-61-defloc311","Stepney","defendantHome"
"t16980504-8","t16980504-8-defloc37","St. Buttolphs Aldgate","defendantHome"
"t16980608-18","t16980608-18-defloc84","Thistleworth","defendantHome"
"t16980720-19","t16980720-19-defloc89","St. James's Liberty of Westminster","defendantHome"
"t16980720-20","t16980720-20-defloc97","Stepney","defendantHome"
"t16980720-3","t16980720-3-defloc10","St. Butolphs Bishopsgate","defendantHome"
"t16900717-6","t16900717-6-crimeloc30","Edmonton","crimeLocation"
"t16901015-20","t16901015-20-crimeloc84","West Ham in Essex","crimeLocation"
"t16901015-23","t16901015-23-defloc98","Hillingdon","defendantHome"
"t16901210-2","t16901210-2-crimeloc6","St. Sepulchres","crimeLocation"
"t16901210-8","t16901210-8-crimeloc37","St. Mary Islingtone","crimeLocation"
"t16901210-8","t16901210-8-crimeloc41","St. Pancras","crimeLocation"
"t16910218-33","t16910218-33-defloc150","St. James Westminster","defendantHome"
"t16910422-14","t16910422-14-crimeloc73","Fetter-Lane","crimeLocation"
"t16910422-32","t16910422-32-crimeloc157","St. Christophers Parish, near the Exchange","crimeLocation"
"t16910708-20","t16910708-20-crimeloc81","St. James Clarkenwel","crimeLocation"
"t16910708-24","t16910708-24-crimeloc103","St. Andrews Holburn","crimeLocation"
"t16920115-2","t16920115-2-crimeloc6","St. Michaels Cornhill","crimeLocation"
"t16920115-20","t16920115-20-crimeloc102","Ratcliff Highway","crimeLocation"
"t16920115-2","t16920115-20-crimeloc102","Ratcliff Highway","crimeLocation"
"t16920115-6","t16920115-6-crimeloc29","Bishopgate street","crimeLocation"
"t16920115-8","t16920115-8-crimeloc41","St. Andrews Holborn","crimeLocation"
"t16920629-1","t16920629-1-defloc2","Little-All-hallows","defendantHome"
"t16920629-7","t16920629-7-crimeloc41","Stepney Parish","crimeLocation"
"t16921207-21","t16921207-21-crimeloc97","without Bishops-gate","crimeLocation"
"t16930531-10","t16930531-10-crimeloc41","Knight-Riders-street","crimeLocation"
"t16931012-20","t16931012-20-crimeloc74","St. Botolph's Aldgate","crimeLocation"
"t16940524-8","t16940524-8-crimeloc30","Honey-lane Market","crimeLocation"
"t16940830-13","t16940830-13-crimeloc60","White-chappel","crimeLocation"
"t16940830-13","t16940830-13-crimeloc62","White-Chappel Road","crimeLocation"
"t16940830-7","t16940830-7-crimeloc28","Ram-Ally","crimeLocation"
"t16941010-13","t16941010-13-crimeloc60","Shoe-lane","crimeLocation"
"t16941010-35","t16941010-35-crimeloc151","Paternoster-row","crimeLocation"
"t16951203-2","t16951203-2-defloc6","St. Dunstans in the West","defendantHome"
"t16951203-2","t16951203-2-crimeloc9","Star Tavern in White-Fryers","crimeLocation"
"t16951203-2","t16951203-28-defloc149","St. Martins Ludgate","defendantHome"
"t16951203-28","t16951203-28-defloc149","St. Martins Ludgate","defendantHome"
"t16951203-42","t16951203-42-defloc216","St. James Clerkenwell","defendantHome"
"t16951203-9","t16951203-9-defloc47","St. Buttolph without Algate","defendantHome"
"t16960909-1","t16960909-1-defloc1","St. Peters Cornhil","defendantHome"
"t16960909-1","t16960909-17-defloc86","Kensington","defendantHome"
"t16960909-17","t16960909-17-defloc86","Kensington","defendantHome"
"t16960909-40","t16960909-40-defloc211","St. James's Westminster","defendantHome"
"t16960909-9","t16960909-9-defloc41","St. Sepulchres","defendantHome"
"t16960909-9","t16960909-9-crimeloc44","Ditton near Uxbridge","crimeLocation"
