"PLACE_NAME","PLACE_TYPE","ID","DATESTAMP"
"St Giles's","crimeLocation","t16740717-6","7/17/1674"
"St. Martins in the fields","crimeLocation","t16780703-15","7/3/1678"
"Goodmans Fields","crimeLocation","t16781211e-11","12/11/1678"
"White-chappel","defendantHome","t16781211e-11","12/11/1678"
"Armitage-stairs","crimeLocation","t16790605-13","6/5/1679"
"St. Dunstan's in the East","crimeLocation","t16830223-17","2/23/1683"
"St. Martins Parish","crimeLocation","t16830418-7","4/18/1683"
"the Crown in the Old Palace-Yard Westminster","crimeLocation","t16830418a-6","4/18/1683"
"Alhollows Barkin","crimeLocation","t16830524-4","5/24/1683"
"Cornhill","crimeLocation","t16830712-5","7/12/1683"
"Hornzey","crimeLocation","t16830712-8","7/12/1683"
"Little St. Bartholomews","crimeLocation","t16830829-1","8/29/1683"
"St. Magnes parish","crimeLocation","t16830829-4","8/29/1683"
"Amen Corner","crimeLocation","t16830829-15","8/29/1683"
"Amen Corner","crimeLocation","t16830829-1","8/29/1683"
"Fetter-lane","crimeLocation","t16831010a-19","10/10/1683"
"Chelsy","crimeLocation","t16831010a-9","10/10/1683"
"Shoreditch","crimeLocation","t16831212-23","12/12/1683"
"Woodstreet","crimeLocation","t16840116-14","1/16/1684"
"Fleet street","crimeLocation","t16840116-2","1/16/1684"
"Friday-street","crimeLocation","t16840227-3","2/27/1684"
"Royal Exchange","crimeLocation","t16840227-20","2/27/1684"
"Strand","crimeLocation","t16840227-26","2/27/1684"
"Stepney","crimeLocation","t16840227-16","2/27/1684"
"Branford","crimeLocation","t16840227-13","2/27/1684"
"St. Katherines Lane near Tower-Hill","crimeLocation","t16840409-21","4/9/1684"
"St. Botolphs Aldgate","crimeLocation","t16840409-23","4/9/1684"
"New Fish street","crimeLocation","t16840409-30","4/9/1684"
"the Roe-Buck in Fleet-street","crimeLocation","t16840515-18","5/15/1684"
"Stepney","crimeLocation","t16840702-20","7/2/1684"
"Lombard-street","crimeLocation","t16840903-26","9/3/1684"
"St. Andrew Holborn","defendantHome","t16840903-36","9/3/1684"
"St. Mary Woolnoth","crimeLocation","t16841210-4","12/10/1684"
"Coleman-street","crimeLocation","t16841210-1","12/10/1684"
"St. Giles's in the fields","crimeLocation","t16850116-11","1/16/1685"
"Ax in Alderman-bury","crimeLocation","t16850116-18","1/16/1685"
"White-Chappel","crimeLocation","t16850116-25","1/16/1685"
"St. Mary Wool-church","crimeLocation","t16850116-30","1/16/1685"
"St. Laurence-lane","crimeLocation","t16850116-31","1/16/1685"
"St. Martins in the Fields","defendantHome","t16850429-3","4/29/1685"
"St. Martins in the Fields","defendantHome","t16850429-40","4/29/1685"
"St. Martins in the Fields","defendantHome","t16850429-44","4/29/1685"
"St. Martins in the Fields","defendantHome","t16850429-51","4/29/1685"
"Wilsdon","defendantHome","t16850429-18","4/29/1685"
"St. Andrews Holborn","defendantHome","t16850429-20","4/29/1685"
"St. Margarets, Westminster","defendantHome","t16850429-16","4/29/1685"
"St. Sepulchres","defendantHome","t16850429-15","4/29/1685"
"St. Mildred","defendantHome","t16850429-14","4/29/1685"
"Stepney","defendantHome","t16850604-31","6/4/1685"
"Lumbard-street","crimeLocation","t16850604-25","6/4/1685"
"St. Edmunds Lumbard street","defendantHome","t16850604-25","6/4/1685"
"St. Martins in the Fields","defendantHome","t16850604-15","6/4/1685"
"St. James Midd","defendantHome","t16850716-53","7/16/1685"
"St. Martins in the Fields","defendantHome","t16850716-27","7/16/1685"
"Hellingdon","crimeLocation","t16851014-1","10/14/1685"
"St. Dunstans in the West","defendantHome","t16851014-1","10/14/1685"
"Hellingdon","crimeLocation","t16851014-11","10/14/1685"
"St. Dunstans in the West","defendantHome","t16851014-1","10/14/1685"
"St. Dunstans in the West","defendantHome","t16851014-13","10/14/1685"
"St Martins in the Fields","crimeLocation","t16851209-38","12/9/1685"
