ID,CRIME_LOCATION,DEFENDANT_HOME
t16740429-5,,
t16740717-6,St Giles's,
t16760114-6,,
t16780703-15,St. Martins in the fields,
t16781211e-11,Goodmans Fields,White-chappel
t16781211e-11,Goodmans Fields,White-chappel
t16781211e-39,,
t16790605-13,Armitage-stairs,
t16800226-5,,
t16811017a-5,,
t16820224-15,,
t16820426-17,,
t16830223-17,St. Dunstan's in the East,
t16830223-19,,
t16830223-20,,
t16830418-1,,
t16830418-2,,
t16830418-7,St. Martins Parish,
t16830418a-10,,
t16830418a-13,,
t16830418a-2,,
t16830418a-6,the Crown in the Old Palace-Yard Westminster,
t16830524-4,Alhollows Barkin,
t16830712-17,,
t16830712-20,,
t16830712-5,Cornhill,
t16830712-8,Hornzey,
t16830829-1,Little St. Bartholomews,
t16830829-15,Amen Corner,
t16830829-4,St. Magnes parish,
t16831010a-19,Fetter-lane,
t16831010a-9,Chelsy,
t16831212-13,,
t16831212-22,,
t16831212-23,Shoreditch,
t16831212-29,,
t16831212-3,,
t16831212-31,,
t16831212-32,,
t16840116-14,Woodstreet,
t16840116-17,,
t16840116-2,Fleet street,
t16840227-13,Branford,
t16840227-16,Stepney,
t16840227-16,Stepney,
t16840227-20,Royal Exchange,
t16840227-26,Strand,
t16840227-3,Friday-street,
t16840409-21,St. Katherines Lane near Tower-Hill,
t16840409-22,,
t16840409-23,St. Botolphs Aldgate,
t16840409-25,,
t16840409-30,New Fish street,
t16840409-6,,
t16840515-18,the Roe-Buck in Fleet-street,
t16840515-21,,
t16840702-10,,
t16840702-20,Stepney,
t16840702-20,Stepney,
t16840702-36,,
t16840903-26,Lombard-street,
t16840903-36,,St. Andrew Holborn
t16841008-6,,
t16841210-1,Coleman-street,
t16841210-19,,
t16841210-39,,
t16841210-4,St. Mary Woolnoth,
t16841210-61,,
t16850116-11,St. Giles's in the fields,
t16850116-18,Ax in Alderman-bury,
t16850116-25,White-Chappel,
t16850116-30,St. Mary Wool-church,
t16850116-31,St. Laurence-lane,
t16850225-10,,
t16850225-15,,
t16850225-22,,
t16850225-24,,
t16850225-30,,
t16850225-32,,
t16850225-33,,
t16850225-36,,
t16850225-37,,
t16850225-38,,
t16850429-12,,
t16850429-14,,St. Mildred
t16850429-15,,St. Sepulchres
t16850429-16,,"St. Margarets, Westminster"
t16850429-18,,Wilsdon
t16850429-20,,St. Andrews Holborn
t16850429-3,,St. Martins in the Fields
t16850429-40,,St. Martins in the Fields
t16850429-44,,St. Martins in the Fields
t16850429-45,,
t16850429-51,,St. Martins in the Fields
t16850604-15,,St. Martins in the Fields
t16850604-25,Lumbard-street,St. Edmunds Lumbard street
t16850604-25,Lumbard-street,St. Edmunds Lumbard street
t16850604-31,,Stepney
t16850604-31,,Stepney
t16850604-33,,
t16850716-27,,St. Martins in the Fields
t16850716-39,,
t16850716-53,,St. James Midd
t16850716-7,,
t16851014-1,,St. Dunstans in the West
t16851014-11,Hellingdon,
t16851014-13,,St. Dunstans in the West
t16851209-11,St. Giles's Cripple-gate,
t16851209-30,St. Sepulchres,
t16851209-38,St Martins in the Fields,
t16851209-40,St. Andrews Holborn,
