"PRIMARY_ID","BREAKING_PEACE","DAMAGE","DECEPTION","KILL","MISC","ROYAL_OFFENCES","SEXUAL","THEFT","VIOLENT_THEFT"
"t16740429-5","0","0","0","0","0","0","0","1","0"
"t16740717-6","0","0","0","0","0","0","0","1","0"
"t16760114-6","0","0","0","0","0","0","0","1","0"
"t16780703-15","0","0","0","0","0","0","0","1","0"
"t16781211e-11","0","0","0","0","0","0","0","1","0"
"t16781211e-39","0","0","0","0","0","0","0","1","0"
"t16790605-13","0","0","0","0","0","0","0","1","0"
"t16800226-5","0","0","0","0","0","0","0","1","0"
"t16811017a-5","0","0","0","0","0","0","0","1","0"
"t16820224-15","0","0","0","0","0","0","0","1","0"
"t16820426-17","0","0","0","0","0","0","0","1","0"
"t16830223-17","0","0","0","0","0","0","0","1","0"
"t16830223-19","0","0","0","0","0","0","0","1","0"
"t16830223-20","0","0","0","0","0","0","0","1","0"
"t16830418-1","0","0","0","0","0","0","0","1","0"
"t16830418-2","0","0","0","0","0","0","0","1","0"
"t16830418-7","0","0","0","1","0","0","0","0","0"
"t16830418a-10","0","0","0","0","0","0","0","1","0"
"t16830418a-13","0","0","0","0","0","0","0","1","0"
"t16830418a-2","0","0","0","0","0","0","0","1","0"
"t16830418a-6","0","0","0","0","0","0","0","1","0"
"t16830524-4","0","0","0","0","0","0","0","1","0"
"t16830712-17","0","0","0","0","0","0","0","1","0"
"t16830712-20","0","0","0","0","0","0","0","1","0"
"t16830712-5","0","0","0","0","0","0","0","1","0"
"t16830712-8","0","0","0","0","0","0","0","0","1"
"t16830829-1","0","0","0","0","0","0","0","1","0"
"t16830829-15","0","0","0","0","0","0","0","1","0"
"t16830829-4","0","0","0","0","0","0","0","1","0"
"t16831010a-19","0","0","0","0","0","0","0","1","0"
"t16831010a-9","0","0","0","0","0","0","0","1","0"
"t16831212-13","0","0","0","0","0","0","0","1","0"
"t16831212-22","0","0","0","0","0","0","0","1","0"
"t16831212-23","0","0","0","0","0","0","0","1","0"
"t16831212-29","0","0","0","0","0","0","0","1","0"
"t16831212-3","0","0","0","0","0","0","0","1","0"
"t16831212-31","0","0","0","0","0","0","0","1","0"
"t16831212-32","0","0","0","0","0","0","0","1","0"
"t16840116-14","0","0","0","0","0","0","0","1","0"
"t16840116-17","0","0","0","0","0","0","0","1","0"
"t16840116-2","0","0","0","0","0","0","0","1","0"
"t16840227-13","0","0","0","0","0","0","0","1","0"
"t16840227-16","0","0","0","0","0","0","0","1","0"
"t16840227-20","0","0","0","0","0","0","0","1","0"
"t16840227-26","0","0","0","0","0","0","0","1","0"
"t16840227-3","0","0","0","0","0","0","0","1","0"
"t16840409-21","0","0","0","0","0","0","0","1","0"
"t16840409-22","0","0","0","0","0","0","0","1","0"
"t16840409-23","0","0","0","0","0","0","0","1","0"
"t16840409-25","0","0","0","0","0","0","0","1","0"
"t16840409-30","0","0","0","0","0","0","0","1","0"
"t16840409-6","0","0","0","0","0","0","0","1","0"
"t16840515-18","0","0","0","0","0","0","0","1","0"
"t16840515-21","0","0","0","0","0","0","0","1","0"
"t16840702-10","0","0","0","0","0","0","0","1","0"
"t16840702-20","0","0","0","0","0","0","0","1","0"
"t16840702-36","0","0","0","0","0","0","0","1","0"
"t16840903-26","0","0","0","0","0","0","0","1","0"
"t16840903-36","0","0","0","0","0","0","0","1","0"
"t16841008-6","0","0","0","0","0","0","0","1","0"
"t16841210-1","0","0","0","1","0","0","0","0","0"
"t16841210-19","0","0","0","1","0","0","0","0","0"
"t16841210-39","0","0","0","0","0","0","0","1","0"
"t16841210-4","0","0","0","0","0","0","0","1","0"
"t16841210-61","0","0","0","0","0","0","0","1","0"
"t16850116-11","0","0","0","0","0","0","0","1","0"
"t16850116-18","0","0","0","0","0","0","0","1","0"
"t16850116-25","0","0","0","0","0","0","0","1","0"
"t16850116-30","0","0","0","0","0","0","0","1","0"
"t16850116-31","0","0","0","0","0","0","0","1","0"
"t16850225-10","0","0","0","0","0","0","0","1","0"
"t16850225-15","0","0","0","0","0","0","0","1","0"
"t16850225-22","0","0","0","0","0","0","0","1","0"
"t16850225-24","0","0","0","0","0","0","0","1","0"
"t16850225-30","0","0","0","0","0","0","0","1","0"
"t16850225-32","0","0","0","0","0","0","0","1","0"
"t16850225-33","0","0","0","0","0","0","0","1","0"
"t16850225-36","0","0","0","0","1","0","0","0","0"
"t16850225-37","0","0","0","0","0","0","0","1","0"
"t16850225-38","0","0","0","0","0","0","0","0","1"
"t16850429-12","0","0","0","0","0","0","0","1","0"
"t16850429-14","0","0","0","0","0","0","0","1","0"
"t16850429-15","0","0","0","0","0","0","0","1","0"
"t16850429-16","0","0","0","0","0","0","0","1","0"
"t16850429-18","0","0","0","0","0","0","0","1","0"
"t16850429-20","0","0","0","0","0","0","0","1","0"
"t16850429-3","0","0","0","0","0","0","0","1","0"
"t16850429-40","0","0","0","0","0","0","0","1","0"
"t16850429-44","0","0","0","0","0","0","0","1","0"
"t16850429-45","0","0","0","0","0","0","0","1","0"
"t16850429-51","0","0","0","0","0","0","0","1","0"
"t16850604-15","0","0","0","0","0","0","0","1","0"
"t16850604-25","0","0","0","0","0","0","0","1","0"
"t16850604-31","0","0","0","0","0","0","0","1","0"
"t16850604-33","0","0","0","0","0","0","0","1","0"
"t16850716-27","0","0","0","0","0","0","0","1","0"
"t16850716-39","0","0","0","0","0","0","0","1","0"
"t16850716-53","0","0","0","0","0","0","0","1","0"
"t16850716-7","0","0","0","0","0","0","0","1","0"
"t16851014-1","0","0","0","1","0","0","0","0","0"
"t16851014-11","0","0","0","1","0","0","0","0","0"
"t16851014-13","0","0","0","0","0","0","0","1","0"
"t16851209-11","0","0","0","0","0","0","0","1","0"
"t16851209-30","0","0","0","0","0","0","0","1","0"
"t16851209-38","0","0","0","0","0","0","0","1","0"
"t16851209-40","0","0","0","0","0","0","0","1","0"
"t16860114-1","0","0","0","1","0","0","0","0","0"
"t16860114-14","0","0","0","0","0","0","0","1","0"
"t16860224-10","0","0","0","0","0","0","0","1","0"
"t16860224-11","0","0","0","0","0","0","0","1","0"
"t16860224-12","0","0","0","0","0","0","0","1","0"
"t16860224-19","0","0","0","0","0","0","0","0","1"
"t16860224-20","0","0","0","0","0","0","0","1","0"
"t16860224-26","0","0","0","0","0","0","0","1","0"
"t16860414-1","0","0","0","0","0","0","0","1","0"
"t16860414-14","0","0","0","0","0","0","0","1","0"
"t16860520-13","0","0","0","0","0","0","0","1","0"
"t16860520-16","0","0","0","0","0","0","0","1","0"
"t16860520-3","0","0","0","0","0","0","0","1","0"
"t16860707-19","0","0","0","0","0","0","0","1","0"
"t16860707-23","0","0","0","0","0","0","0","1","0"
"t16860707-7","0","0","0","0","0","0","0","1","0"
"t16860901-18","0","0","0","0","0","0","0","1","0"
"t16860901-2","0","0","0","0","0","0","0","1","0"
"t16861013-10","0","0","0","0","0","0","0","1","0"
"t16861013-4","0","0","0","0","0","0","0","1","0"
"t16861208-25","0","0","0","0","0","0","0","1","0"
"t16861208-6","0","0","0","0","0","0","0","1","0"
"t16870114-21","0","0","0","0","0","0","0","1","0"
"t16870114-4","0","0","0","0","0","0","0","1","0"
"t16870114-7","0","0","0","0","0","0","0","1","0"
"t16870223-19","0","0","0","0","0","0","0","1","0"
"t16870223-37","0","0","0","0","0","0","0","1","0"
"t16870223-6","0","0","0","0","0","0","0","1","0"
"t16870406-40","0","0","0","0","0","0","0","1","0"
"t16870406-43","0","0","0","0","0","0","0","1","0"
"t16870406-46","0","0","0","0","0","0","0","1","0"
"t16870512-15","0","0","0","0","0","0","0","1","0"
"t16870512-24","0","0","0","0","0","0","0","1","0"
"t16870512-5","0","0","0","0","0","0","0","1","0"
"t16870701-39","0","0","0","0","0","0","0","1","0"
"t16870831-43","0","0","0","0","0","0","0","1","0"
"t16871012-13","0","0","0","0","0","0","0","1","0"
"t16871012-25","0","0","0","0","0","0","0","1","0"
"t16871207-14","0","0","0","0","0","0","0","1","0"
"t16871207-25","0","0","0","0","0","0","0","1","0"
"t16871207-39","0","0","0","0","0","0","0","1","0"
"t16871207-5","0","0","0","0","0","0","0","1","0"
"t16880222-11","0","0","0","0","0","0","0","1","0"
"t16880222-13","0","0","0","0","0","0","0","1","0"
"t16880222-16","0","0","0","0","0","0","0","1","0"
"t16880222-21","0","0","0","0","0","0","0","1","0"
"t16880425-17","0","0","0","0","0","0","0","1","0"
"t16880425-2","0","0","0","0","0","0","0","1","0"
"t16880425-37","0","0","0","0","0","0","0","1","0"
"t16880531-37","0","0","0","0","0","0","0","1","0"
"t16880711-36","0","0","0","0","0","0","0","1","0"
"t16880831-15","0","0","0","0","0","0","0","1","0"
"t16880831-29","0","0","0","0","0","0","0","1","0"
"t16880831-4","0","0","0","0","0","0","0","1","0"
"t16881205-19","0","0","0","0","0","0","0","1","0"
"t16890516-101","0","0","0","0","0","0","0","1","0"
"t16890516-57","0","0","0","0","0","0","0","1","0"
"t16890703-32","0","0","0","0","0","0","0","1","0"
"t16890703-42","0","0","0","0","0","0","0","1","0"
"t16890703-5","0","0","0","0","0","0","0","1","0"
"t16890828-12","0","0","0","0","0","0","0","1","0"
"t16890828-15","0","0","0","0","0","0","0","1","0"
"t16890828-19","0","0","0","0","0","0","0","1","0"
"t16890828-2","0","0","0","0","0","0","0","1","0"
"t16890828-21","0","0","0","0","0","0","0","1","0"
"t16890828-22","0","0","0","0","0","0","0","1","0"
"t16891211-1","0","1","0","0","0","0","0","0","0"
"t16891211-17","0","0","0","0","0","0","0","1","0"
"t16891211-21","0","0","0","0","0","0","0","1","0"
"t16891211-23","0","0","0","0","0","0","0","1","0"
"t16891211-25","0","0","0","0","0","0","0","1","0"
"t16891211-27","0","0","0","0","0","0","0","1","0"
"t16891211-46","0","0","0","0","0","0","0","1","0"
"t16891211-48","0","0","0","0","0","0","0","1","0"
"t16891211-49","0","0","0","0","0","0","0","1","0"
"t16891211-8","0","0","0","0","0","0","0","1","0"
"t16900115-11","0","0","0","0","0","0","0","1","0"
"t16900115-31","0","0","0","0","0","0","0","1","0"
"t16900226-24","0","0","0","0","0","0","0","1","0"
"t16900226-26","0","0","0","0","0","0","0","1","0"
"t16900430-13","0","0","0","0","0","0","0","1","0"
"t16900430-18","0","0","0","0","0","0","0","1","0"
"t16900430-21","0","0","0","0","0","0","0","1","0"
"t16900430-46","0","0","0","0","0","0","0","1","0"
"t16900430-53","0","0","0","0","0","0","0","1","0"
