"Latitude","Longitude","Place_name"
"-33.88419","151.23151","Dudley Arms public-house, in the parish of St. Mary, Paddington, London, England"
"-33.88477","151.18264","Water-street, in the Strand, it goes down out of Arundel-street, London, England"
"-33.89086","151.21097","Coach and Horses, a publick-house, in Great Marlborough-Street, London, England"
"1","7","at No. 1, Chapter-house-court, St. Paul's Church-yard, St. Gregory's parish, London, England"
"1","7","Gravel-alley, Blue Anchor-walk, it is in the parish of St. Luke's, London, England"
"1","7","the George public-house in Little Saffron Hill, in the parish of St. Andrew, Holborn, London, England"
"1","7","White Swan public-house, in Little St. Andrew's-street, St. Giles', London, England"
"13.08333","-59.53333","No. 2, New-court, Winfield-street, in the parish of Christ church Spitalfields, London, England"
"14.33055","120.96268","King's Head in King's Head Court, in the Parish of St. Gregory, London, England"
"17.06667","-61.83333","Houseless Poor Asylum, in Playhouse-yard, Whitecross-street, St. Luke's, London, England"
"17.06667","-61.83333","Turk's Head-court, Green Arbour-court, Golden-lane, St. Luke's, Middlesex, London, England"
"18.18932","-77.93605","Pontefract Castle public-house, at the corner of Chapel-street, New-road, London, England"
"18.31667","-76.9","48, Upper Berkley-street, Edgeware-road, in the parish of St. Mary-le-bone, London, England"
"18.31667","-76.9","No. 29, Salisbury-street, Lisson-grove, in the parish of St. Mary-le-bone, London, England"
"18.31667","-76.9","No. 4, William-street, Manchester-square, in the parish of St. Mary-le-bone, London, England"
"22","79","Grove-street, Commercial-road, in the parish of St. George in the East, London, England"
"22","79","New-street, St. Martin's-lane, in the parish of St. Martins-in-the-field, London, England"
"34.64673","-103.90441","Fleet-street, going to the Temple, nearly opposite Peel's coffee-house, London, England"
"34.80655","-78.97114","the Rose and Crown, and Goose and Gridiron in St. Paul's church-yard, London, England"
"35.90556","14.49694","Little-Drury-Lane behind the New Church in the Strand, London, England"
"36.04625","-79.5178","Windsor Great Park, between Windsor and Hounslow, in the country of Middlesex, London, England"
"37.10415","-113.58412","Upper Chapman-street, Cannon-street-road, in the parish of St. George, London, England"
"38.47429","-76.50634","Dove-row, Margaret-street, Hackney-road, in the parish of St. Leonard, Shoreditch, London, England"
"39.83665","-105.0372","Broad-street, Golden-square, in the parish of St. James, Westminster, London, England"
"39.83665","-105.0372","No. 2, Marylebone street, in the parish of St. James, Westminster, London, England"
"39.83665","-105.0372","No. 7, Leicester-square, in the parish of St. Ann, Westminster, London, England"
"40.65399","-75.08656","No. 2, Kingsgate-street, Holborn, in the parish of St. George's, Bloomsbury, London, England"
"41.02778","37.50139","Bow Church on the Essex road, a little on this side of Bow, London, England"
"41.0695","-80.66396","the Strand, between St. Clement's and the New Church, on the South side, London, England"
"41.75983","-69.95974","belong to the William and Sarah, lying in the river, London, England"
"42.00693","-92.77548","Holiday yard, Creed-lane, in the parish of St. Martin-le-Grand, London, England"
"42.04836","-90.31569","Harsleston-green, four miles from Tyburn turnpike, and two miles from Kilburn, London, England"
"43.40618","-76.12576","No. 18, Well-street, Mile-end-new-town, in the parish of St. Dunstan's, Stepney, London, England"
"43.40618","-76.12576","No. 19, Homer-street, New-road, Mary-le-bone parish, London, England"
"43.40618","-76.12576","No. 3, Little Bell Court, Gray's-inn-lane, in the parish of St. Andrews, Holborn, London, England"
"43.63457","-123.09285","Coach and Horses public-house, in St. Martin's-lane, London, England"
"43.63457","-123.09285","Fox and Pack public-house, in Gray's Inn-lane, London, England"
"43.63457","-123.09285","King's Head, in King's-Head Court, in Shoe-Lane, London, England"
"43.63457","-123.09285","Lickapon-street, one end of it comes into Leather-lane, London, England"
"43.63457","-123.09285","Red Lettuce, public-house, Frogwell-court, Charter house-lane, London, England"
"43.94155","-122.87655","Cross Keys, public-house, New-street, Mary-le-bone-lane, London, England"
"45.74846","4.84671","public-house in Red-lion-street, Whitechapel, the sign of the White-lion, London, England"
"46.21667","24.7","23, Blackmoor-street, Clare Market, in the parish of St. Clements Danes, London, England"
"46.21667","24.7","Portugal-street, Lincolns-inn-fields, in the parish of St. Clement Danes, London, England"
"47.98085","-102.49018","Duke of Wellington public-house, in Cross-street, Hoxton New-town, London, England"
"47.98085","-102.49018","the White Horse public-house, Spital-street, Mile-end New Town, London, England"
"49.16565","-2.07659","No. 12, Bear-yard, Lincoln's Inn-fields, in the parish of St. Clement Danes, London, England"
"50.9","-1.95","No. 3, Charles-street, Drury-lane, in the parish of St. Giles, London, England"
"51.12472","-2.74","Hole in the Wall public-house, St. Dunstan's-court, Fleet-street, London, England"
"51.12472","-2.74","Red-Lion, a publick-house at the corner of Red-Lion-street, White-chapel, London, England"
"51.12472","-2.74","St. Mary-le-bone - their workhouse is in Northumberland-street, London, England"
"51.143546","1.274147","a boat belonging to my Lord Mayor lying in the river, London, England"
"51.175574","1.34287","Old Slaughter Coffee-house, in the parish of St. Martin in the Fields, London, England"
"51.212228","1.402227","No. 25, in the Strand, in the parish of St. Martin in the Fields, London, England"
"51.245589","1.125282","near Holborn bridge, London, England"
"51.25454","-0.939586","Murrell-green, near Basingstoke, in Odiham parish, London, England"
"51.28333","-0.83333","Horse-Shoe and Magpye Alehouse, the Corner of Fetter-Lane, in Fleet-Street, London, England"
"51.33774","-0.01596","Cudham, in Kent, London, England"
"51.343982","-0.117796","Russell-court, London, England"
"51.344917","0.057013","Orange-court, London, England"
"51.350471","0.089158","High-street, London, England"
"51.351062","-0.096162","Kensington-terrace, London, England"
"51.35297","0.074439","Shire-lane, London, England"
"51.355994","-0.101527","Vauxhall gardens, London, England"
"51.358109","-0.15862","Longacre, London, England"
"51.359329","-0.213229","St. Dunstan's Hill, London, England"
"51.359329","-0.213229","St. Dunstan's hill, London, England"
"51.36365","-0.296018","Moor-Lane, London, England"
"51.36365","-0.296018","Moor-lane, London, England"
"51.366312","-0.179656","Savoy, London, England"
"51.366621","-0.098815","kays, London, England"
"51.367636","-0.182745","Prince's street, London, England"
"51.367636","-0.182745","Prince's-street, London, England"
"51.367636","-0.182745","Princes-street, London, England"
"51.36795","-0.102442","St. Andrew, London, England"
"51.368136","-0.167474","No. 8, West-street, London, England"
"51.368136","-0.167474","West-street, London, England"
"51.368382","-0.102352","No. 69, Queen-street, London, England"
"51.369871","-0.30495","Hawkhurst, London, England"
"51.370331","0.119387","Leeds, London, England"
"51.3739","-0.098911","George street, London, England"
"51.3739","-0.098911","George-street, London, England"
"51.374872","-0.021212","Hawkhurst in Kent, London, England"
"51.379073","-0.155187","the Savoy, London, England"
"51.38093","-0.02975","Old Bedlam, London, England"
"51.38093","-0.02975","Old-Bedlam, London, England"
"51.381893","-0.098031","Newgate, London, England"
"51.382028","-0.08471","Philip, London, England"
"51.384239","-0.117067","Canterbury, London, England"
"51.386376","-0.158713","Queen's Head, London, England"
"51.386574","-0.1971","Love-lane, London, England"
"51.386874","-0.101077","Bell-court, London, England"
"51.387664","0.109495","Kent-road, London, England"
"51.389686","-0.293013","Castle, London, England"
"51.392202","-0.310939","Thames Ditton, London, England"
"51.392272","-0.204201","St. Lawrence, London, England"
"51.392502","-0.199959","Denmark Court, in the Strand, London, England"
"51.392746","-0.199739","Denmark-court, London, England"
"51.393276","-0.017837","St. Martin's Lane End, London, England"
