"PLACE_NAME","PLACE_TYPE","LATITUDE","LONGITUDE","COUNT(*)"
"1, Crown-street, St. Giles's","crimeLocation","51.50853","-0.12574","2"
"1, in Howland-street","crimeLocation","51.50853","-0.12574","1"
"10, Bowling green-lane, Clerkenwell","crimeLocation","51.524462","-0.10713","1"
"10, Leather-lane, Holborn","crimeLocation","51.520501","-0.109557","1"
"101 Fleet-street","crimeLocation","51.50853","-0.12574","2"
"101, Great Tothill-street","crimeLocation","51.50853","-0.12574","1"
"104, Ratcliffe-Highway","crimeLocation","51.50853","-0.12574","1"
"105 in the Minories","crimeLocation","51.50853","-0.12574","1"
"11, Devonshire place","crimeLocation","51.523001","-0.150421","2"
"11, King's-head court, Blue Anchor alley, Bunhill row","crimeLocation","51.50853","-0.12574","1"
"11, Old Pye-street, Westminster","crimeLocation","51.497499","-0.133295","2"
"11, Osborne-street, near Ratcliff-highway, St. George's in the East","crimeLocation","","","1"
"11, Quaker-street, Spitalfields","crimeLocation","51.522085","-0.072595","2"
"111, in the Strand","crimeLocation","51.50853","-0.12574","1"
"118, Ratcliffe highway","crimeLocation","51.50853","-0.12574","1"
"119, Wardour street","crimeLocation","51.513376","-0.134179","1"
"12, Brook-street, Fitzroy-square","crimeLocation","51.50853","-0.12574","1"
"120, Edgware-road, in the parish of St. Mary-le-bone","crimeLocation","51.52541","-0.16806","1"
"120, Minories","crimeLocation","51.50853","-0.12574","2"
"121, Bishopsgate Street","crimeLocation","51.50853","-0.12574","1"
"124, High-Holborn","crimeLocation","51.517678","-0.118939","1"
"126, Newgate-Street","crimeLocation","51.620793","0.014026","1"
"128 Brick-lane, in the parish of St. Matthew Bethnal Green","crimeLocation","51.52718","-0.06109","1"
"13, Bluegate-street, Whitechapel","crimeLocation","51.51382","-0.06583","1"
"13, Holborn","crimeLocation","51.517934","-0.119528","1"
"13, Marygold-court, Strand, in the parish of St. Martin's in the Fields","crimeLocation","51.50853","-0.12574","1"
"13, Shoreditch","crimeLocation","51.526669","-0.079893","1"
"137, Great Earl-street, Sevendials","crimeLocation","51.50853","-0.12574","1"
"137, Old Gravel-lane","crimeLocation","51.50853","-0.12574","3"
"137, in the Strand","crimeLocation","51.50853","-0.12574","1"
"14, Cable-street, Wellclose-square","crimeLocation","51.50853","-0.12574","2"
"14, Golden-square, Marylebone","crimeLocation","51.52541","-0.16806","1"
"140, Whitecross-street","crimeLocation","51.522034","-0.092623","1"
"148, Upper Thames-street","crimeLocation","51.50853","-0.12574","1"
"149, Bishopgate-street, in the parish of Bishopgate-without","crimeLocation","51.50853","-0.12574","1"
"15, Berkley Square","crimeLocation","51.50853","-0.12574","1"
"15, Bucklersbury","crimeLocation","51.51296","-0.09042","1"
"15, Charles-street, Hatton-garden","crimeLocation","51.50853","-0.12574","3"
"15, Wood-street, Cheapside","crimeLocation","51.51409","-0.09394","1"
"153, Fleet-street","crimeLocation","51.50853","-0.12574","2"
