10,49,,Age Group,Count,%
11,79,,8-9,18,0.1%
12,184,,10-14,1127,6.4%
13,309,,15-19,5079,28.8%
14,506,,20-24,4418,25.1%
15,546,,25-29,2523,14.3%
16,876,,30-34,1615,9.2%
17,1008,,35-39,1061,6.0%
18,1341,,40-49,1216,6.9%
19,1308,,50-59,422,2.4%
20,1197,,60+,130,0.7%
21,1017,,,,
22,910,,,,
23,668,,,,
24,626,,,,
25,637,,,,
26,517,,,,
27,477,,,,
28,541,,,,
29,351,,,,
30,598,,,,
31,191,,,,
32,311,,,,
33,272,,,,
34,243,,,,
35,280,,,,
36,242,,,,
37,176,,,,
38,206,,,,
39,157,,,,
40,314,,,,
41,73,,,,
42,133,,,,
43,96,,,,
44,97,,,,
45,161,,,,
46,89,,,,
47,88,,,,
48,85,,,,
49,80,,,,
50,102,,,,
51,34,,,,
51,1,,,,
52,65,,,,
52,1,,,,
53,27,,,,
54,38,,,,
55,43,,,,
56,32,,,,
57,34,,,,
58,20,,,,
59,25,,,,
60,39,,,,
61,10,,,,
62,13,,,,
63,10,,,,
64,9,,,,
65,9,,,,
66,6,,,,
67,6,,,,
68,9,,,,
69,5,,,,
70,2,,,,
71,1,,,,
72,2,,,,
73,1,,,,
74,2,,,,
75,2,,,,
76,1,,,,
78,2,,,,
8,4,,,,
83,1,,,,
9,14,,,,
