"OFFENCE_SUBCAT","COUNT(A.OFFENCE_SUBCAT)"
"animalTheft","16899"
"arson","15"
"assault","20"
"bigamy","386"
"burglary","5806"
"coiningOffences","2112"
"conspiracy","21"
"embezzlement","3440"
"extortion","46"
"forgery","480"
"fraud","727"
"gameLawOffence","5"
"grandLarceny","19799"
"highwayRobbery","521"
"housebreaking","2573"
"illegalAbortion","2"
"kidnapping","118"
"mail","85"
"manslaughter","67"
"murder","108"
"other","723"
"perjury","82"
"pervertingJustice","32"
"pettyLarceny","367"
"piracy","1"
"pocketpicking","8025"
"rape","48"
"receiving","1108"
"returnFromTransportation","30"
"robbery","424"
"seditiousLibel","1"
"shoplifting","925"
"simpleLarceny","4624"
"sodomy","1"
"stealingFromMaster","530"
"taxOffences","9"
"theftFromPlace","3179"
"threateningBehaviour","2"
"treason","3"
"vagabond","1"
"wounding","106"
