"DATESTAMP","COUNT_UNDERAGE"
"10/17/1681","1"
"2/24/1682","1"
"4/9/1684","1"
"5/20/1686","1"
"12/11/1689","1"
"9/3/1690","1"
"10/15/1690","1"
"5/24/1694","1"
"2/25/1719","2"
"7/4/1722","4"
"7/9/1729","2"
"12/4/1730","1"
"4/28/1731","2"
"7/14/1731","2"
"12/5/1733","2"
"4/24/1734","2"
"4/13/1743","1"
"1/15/1748","2"
"7/11/1750","2"
"9/12/1750","1"
"12/4/1751","2"
"5/14/1752","4"
"10/26/1752","1"
"12/5/1753","2"
"12/7/1757","1"
"9/12/1759","2"
"2/27/1760","2"
"2/25/1761","1"
"1/14/1762","1"
"9/17/1762","2"
"2/23/1763","2"
"1/13/1764","1"
"5/2/1764","2"
"7/28/1764","1"
"9/12/1764","2"
"10/17/1764","1"
"4/17/1765","1"
"7/10/1765","2"
"7/2/1766","4"
"12/17/1766","3"
"2/18/1767","2"
"7/15/1767","2"
"9/9/1767","4"
"2/24/1768","5"
"4/13/1768","1"
"5/18/1768","1"
"9/7/1768","1"
"10/19/1768","4"
"12/7/1768","2"
"1/12/1769","7"
"4/5/1769","2"
"5/10/1769","2"
"10/18/1769","4"
"1/17/1770","4"
"5/30/1770","2"
"9/11/1771","1"
"12/4/1771","2"
"10/21/1772","1"
"12/9/1772","3"
"1/13/1773","2"
"2/17/1773","1"
"6/26/1773","2"
"7/7/1773","3"
"5/18/1774","2"
"10/19/1774","2"
"1/11/1775","2"
"2/18/1775","2"
"12/6/1775","1"
"1/15/1783","1"
"9/10/1783","2"
"12/10/1783","3"
"1/14/1784","3"
"4/21/1784","4"
"1/12/1785","2"
"9/14/1785","1"
"12/14/1785","1"
"5/31/1786","1"
"1/10/1787","1"
"2/21/1787","2"
"9/12/1787","6"
"10/24/1787","2"
"1/9/1788","2"
"4/2/1788","2"
"5/7/1788","8"
"6/25/1788","2"
"10/22/1788","1"
"4/22/1789","3"
"9/9/1789","3"
"1/13/1790","3"
"2/24/1790","4"
"4/24/1790","1"
"5/26/1790","8"
"7/7/1790","1"
"9/15/1790","2"
"12/8/1790","2"
"4/13/1791","14"
"7/20/1791","6"
"9/14/1791","4"
"1/13/1792","5"
"2/15/1792","4"
"3/29/1792","6"
"5/23/1792","3"
"7/4/1792","1"
"9/12/1792","4"
"10/31/1792","3"
"12/15/1792","3"
"1/9/1793","2"
"2/20/1793","9"
"4/10/1793","12"
"5/29/1793","9"
"6/26/1793","1"
"9/11/1793","2"
"10/30/1793","7"
"1/15/1794","2"
"4/30/1794","7"
"9/17/1794","4"
"11/11/1794","6"
"12/8/1794","1"
"1/14/1795","8"
"2/18/1795","4"
"5/20/1795","3"
"7/1/1795","3"
"9/16/1795","6"
"10/28/1795","2"
"1/13/1796","2"
"2/17/1796","6"
"4/6/1796","2"
"5/11/1796","2"
"6/22/1796","1"
"9/14/1796","2"
"11/30/1796","2"
"1/11/1797","5"
"2/15/1797","5"
"4/26/1797","3"
"5/31/1797","2"
"7/12/1797","6"
"9/20/1797","4"
"10/25/1797","4"
"12/6/1797","2"
"1/10/1798","10"
"2/14/1798","1"
"4/18/1798","1"
"5/23/1798","1"
"9/12/1798","5"
"10/24/1798","3"
"12/5/1798","3"
"1/9/1799","1"
"2/20/1799","2"
"4/3/1799","4"
"5/8/1799","1"
"6/19/1799","3"
"9/11/1799","2"
"10/30/1799","4"
"12/4/1799","4"
"1/15/1800","3"
"2/19/1800","4"
"4/2/1800","2"
"5/28/1800","2"
"7/9/1800","2"
"9/17/1800","5"
"10/29/1800","4"
"12/3/1800","3"
"1/14/1801","5"
"2/18/1801","3"
"4/15/1801","8"
"5/20/1801","3"
"7/1/1801","3"
"9/16/1801","7"
"10/28/1801","1"
"12/2/1801","2"
"1/13/1802","5"
"2/17/1802","1"
"4/28/1802","15"
"6/2/1802","9"
