"DATESTAMP","NAME","AGE","GENDER"
"10/17/1681","Mary Marshal","12","female"
"2/24/1682","Elizabeth Brown","12","female"
"4/9/1684","Lawrence Axtel","10","male"
"5/20/1686","Nathaniel Johnson","10","male"
"12/11/1689","Daniel Groves","16","male"
"9/3/1690","Susannah Tyrrell","10","female"
"10/15/1690","William Goodspeed","15","male"
"5/24/1694","Diana Lawrence","12","female"
"2/25/1719","James Thompson","15","male"
"7/4/1722","Hannah Norman","10","female"
"7/4/1722","Hannah Starky","10","female"
"7/9/1729","Joseph Price","12","male"
"7/9/1729","Thomas Salter","11","male"
"12/4/1730","Mary Johnson","10","female"
"4/28/1731","John Dancer","11","male"
"4/28/1731","Richard Woolls","11","male"
"7/14/1731","Elizabeth Armstrong","9","female"
"12/5/1733","Hester Bray","13","female"
"4/24/1734","John Herring","10","male"
"4/13/1743","John Gillam","13","male"
"1/15/1748","Bryant Ivery","10","male"
"1/15/1748","Thomas Macklin","10","male"
"7/11/1750","John Bailey","16","male"
"7/11/1750","John Frazier","14","male"
"9/12/1750","Sarah Badge","15","female"
"12/4/1751","William Brooks","15","male"
"5/14/1752","Robert Payworth","13","male"
"5/14/1752","Sarah Pierce","18","female"
"10/26/1752","Samuel Jolley","13","male"
"12/5/1753","Elizabeth Smith","11","female"
"12/7/1757","Thomas Lyon","13","male"
"2/28/1759","Sarah Painton","70","female"
"2/28/1759","Thomas Painton","70","male"
"9/12/1759","John Shirwood","16","male"
"2/27/1760","Thomas Smith","16","male"
"2/25/1761","John Lewin","15","male"
"1/14/1762","Henry Robinson","11","male"
"7/14/1762","Elizabeth Wilkinson","20","female"
"9/17/1762","Margaret Learey","13","female"
"2/23/1763","Mary Edwards","14","female"
"10/19/1763","Mary Sarvent","20","female"
"1/13/1764","Ann King","13","female"
"2/22/1764","Eleanor Williams","19","female"
"5/2/1764","John Woodcock","13","male"
"5/2/1764","Robert Welch","13","male"
"7/28/1764","Margaret Ilive","17","female"
"9/12/1764","Matthew Farmer","16","male"
"10/17/1764","John Bland","14","male"
"10/17/1764","John Shadwell","19","male"
"2/27/1765","John Taylor","25","male"
"4/17/1765","Eleanor Johnson","17","female"
"7/10/1765","James Hawket","14","male"
"7/10/1765","William Cook","14","male"
"10/16/1765","Thomas Gill","22","male"
"7/2/1766","James Spelter","13","male"
"7/2/1766","William Davis","15","male"
"12/17/1766","James Mendin","12","male"
"12/17/1766","Thomas Atkins","10","male"
"2/18/1767","William Sheele","18","male"
"7/15/1767","Thomas Dawson","12","male"
"9/9/1767","John Gibson","14","male"
"9/9/1767","John Gibson","18","male"
"9/9/1767","Thomas Davis","22","male"
"9/9/1767","William Mackaway","18","male"
"2/24/1768","Henry Williams","12","male"
"2/24/1768","James Buller","14","male"
"2/24/1768","James Callagan","12","male"
"2/24/1768","Thomas Mitchell","19","male"
"2/24/1768","William Cox","11","male"
"4/13/1768","Elizabeth Bridgeford","14","female"
"4/13/1768","Thomas Berry","19","male"
"5/18/1768","George Reading","12","male"
"9/7/1768","Charles Gouge","12","male"
"10/19/1768","Edward Cain","13","male"
"10/19/1768","James Thompson","18","male"
"10/19/1768","Richard Hardy","13","male"
"10/19/1768","William Lawrence","14","male"
"12/7/1768","James Hines","13","male"
"1/12/1769","George Lucas","15","male"
"1/12/1769","Mary Bartram","17","female"
"1/12/1769","Thomas Metcalf","15","male"
"1/12/1769","William Berry","13","male"
"4/5/1769","William Edge","14","male"
"4/5/1769","William Garhwaite","38","male"
"5/10/1769","Michael Mills","16","male"
"5/10/1769","Moses Waters","18","male"
