ID	CRIME_LOCATION	CRIME_LATLONG	DEFENDANT_HOME	DEFENDANT_HOME_LATLONG
t16740429-5				
t16740717-6	St Giles's	"51.50853,-0.12574"		
t16760114-6				
t16780703-15	St. Martins in the fields	"51.50853,-0.12574"		
t16781211e-11	Goodmans Fields	"51.513717,-0.068538"	White-chappel	"51.50853,-0.12574"
t16781211e-11	Goodmans Fields	"51.513717,-0.068538"	White-chappel	"51.50853,-0.12574"
t16781211e-39				
t16790605-13	Armitage-stairs	"51.50853,-0.12574"		
t16800226-5				
t16811017a-5				
t16820224-15				
t16820426-17				
t16830223-17	St. Dunstan's in the East	"51.52332,-0.03888"		
t16830223-19				
t16830223-20				
t16830418-1				
t16830418-2				
t16830418-7	St. Martins Parish	"51.50853,-0.12574"		
t16830418a-10				
t16830418a-13				
t16830418a-2				
t16830418a-6	the Crown in the Old Palace-Yard Westminster	"51.5,-0.11667"		
t16830524-4	Alhollows Barkin	"51.50853,-0.12574"		
t16830712-17				
t16830712-20				
t16830712-5	Cornhill	"51.671824,-0.032728"		
t16830712-8	Hornzey	"51.50853,-0.12574"		
t16830829-1	Little St. Bartholomews	"51.50853,-0.12574"		
t16830829-15	Amen Corner	"51.422978,-0.160094"		
t16830829-4	St. Magnes parish	"51.50853,-0.12574"		
t16831010a-19	Fetter-lane	"51.50853,-0.12574"		
t16831010a-9	Chelsy	"51.50853,-0.12574"		
t16831212-13				
t16831212-22				
t16831212-23	Shoreditch	"51.526669,-0.079893"		
t16831212-29				
t16831212-3				
t16831212-31				
t16831212-32				
t16840116-14	Woodstreet	"51.584501,-0.000809"		
t16840116-17				
t16840116-2	Fleet street	"51.51348,-0.112117"		
t16840227-13	Branford	"51.50853,-0.12574"		
t16840227-16	Stepney	"51.517402,-0.046219"		
t16840227-16	Stepney	"51.517402,-0.046219"		
t16840227-20	Royal Exchange	"51.518201,-0.169803"		
t16840227-26	Strand	"51.508834,-0.125093"		
t16840227-3	Friday-street	"51.51239,-0.09579"		
t16840409-21	St. Katherines Lane near Tower-Hill	"51.507265,-0.127833"		
t16840409-22				
t16840409-23	St. Botolphs Aldgate	"51.51342,-0.0771"		
t16840409-25				
t16840409-30	New Fish street	"51.50853,-0.12574"		
t16840409-6				
t16840515-18	the Roe-Buck in Fleet-street	"51.50853,-0.12574"		
t16840515-21				
t16840702-10				
t16840702-20	Stepney	"51.517402,-0.046219"		
t16840702-20	Stepney	"51.517402,-0.046219"		
t16840702-36				
t16840903-26	Lombard-street	"51.50853,-0.12574"		
t16840903-36			St. Andrew Holborn	"51.51718,-0.10695"
t16841008-6				
t16841210-1	Coleman-street	"51.51601,-0.08983"		
t16841210-19				
t16841210-39				
t16841210-4	St. Mary Woolnoth	"51.50853,-0.12574"		
t16841210-61				
t16850116-11	St. Giles's in the fields	"51.50853,-0.12574"		
t16850116-18	Ax in Alderman-bury	"51.50853,-0.12574"		
t16850116-25	White-Chappel	"51.50853,-0.12574"		
t16850116-30	St. Mary Wool-church	"51.50853,-0.12574"		
t16850116-31	St. Laurence-lane	"51.50853,-0.12574"		
t16850225-10				
t16850225-15				
t16850225-22				
t16850225-24				
t16850225-30				
t16850225-32				
t16850225-33				
t16850225-36				
t16850225-37				
t16850225-38				
t16850429-12				
t16850429-14			St. Mildred	"51.50853,-0.12574"
t16850429-15			St. Sepulchres	"51.50853,-0.12574"
t16850429-16			"St. Margarets, Westminster"	"51.5,-0.11667"
t16850429-18			Wilsdon	"51.50853,-0.12574"
t16850429-20			St. Andrews Holborn	"51.51753,-0.12045"
t16850429-3			St. Martins in the Fields	"51.50853,-0.12574"
t16850429-40			St. Martins in the Fields	"51.50853,-0.12574"
t16850429-44			St. Martins in the Fields	"51.50853,-0.12574"
t16850429-45				
t16850429-51			St. Martins in the Fields	"51.50853,-0.12574"
t16850604-15			St. Martins in the Fields	"51.50853,-0.12574"
t16850604-25	Lumbard-street	"51.50853,-0.12574"	St. Edmunds Lumbard street	"51.50853,-0.12574"
t16850604-25	Lumbard-street	"51.50853,-0.12574"	St. Edmunds Lumbard street	"51.50853,-0.12574"
t16850604-31			Stepney	"51.517402,-0.046219"
t16850604-31			Stepney	"51.517402,-0.046219"
t16850604-33				
t16850716-27			St. Martins in the Fields	"51.50853,-0.12574"
t16850716-39				
t16850716-53			St. James Midd	"51.50853,-0.12574"
t16850716-7				
t16851014-1			St. Dunstans in the West	"51.50853,-0.12574"
t16851014-11	Hellingdon	"51.50853,-0.12574"		
t16851014-13			St. Dunstans in the West	"51.50853,-0.12574"
t16851209-11	St. Giles's Cripple-gate	"51.50853,-0.12574"		
t16851209-30	St. Sepulchres	"51.50853,-0.12574"		
t16851209-38	St Martins in the Fields	"51.50853,-0.12574"		
t16851209-40	St. Andrews Holborn	"51.51753,-0.12045"		
t16860114-1			St. Giles's Cripple-Gate	"51.50853,-0.12574"
t16860114-14	St. Pauls Covent-Garden	"51.51424,-0.12471"		
t16860224-10			St. Andrews Holbourn	"51.50853,-0.12574"
t16860224-11			St. James's Clarkenwell	"51.50853,-0.12574"
t16860224-12			St. Martins	"51.512961,-0.127523"
t16860224-19	St. Pauls Church-Yard	"51.50853,-0.12574"	St. Gregories	"51.50853,-0.12574"
t16860224-19	St. Pauls Church-Yard	"51.50853,-0.12574"	St. Gregories	"51.50853,-0.12574"
t16860224-20			St. Mary Marfellon	"51.50853,-0.12574"
t16860224-26			St. Bennedict	"51.50853,-0.12574"
t16860414-1			St. Buttolph	"51.50853,-0.12574"
t16860414-14			St. Matfellon alias White Chappell	"51.50853,-0.12574"
t16860520-13			St. Martins in the Field	"51.50853,-0.12574"
t16860520-16			St. Giles's in the Fields	"51.50853,-0.12574"
t16860520-3	St. Michaels Cornhill	"51.497566,-0.183931"		
t16860520-3	St. Michaels Cornhill	"51.497566,-0.183931"		
t16860707-19			Stepney	"51.517402,-0.046219"
t16860707-19			Stepney	"51.517402,-0.046219"
t16860707-23			St. Leonard Shorditch	"51.50853,-0.12574"
t16860707-7				
t16860901-18			St. Lawrence Jury	"51.50853,-0.12574"
t16860901-2			St. Dunstans in the West	"51.50853,-0.12574"
t16861013-10			St. Ann Agnes	"51.50853,-0.12574"
t16861013-4			St. Andrews Holbourn	"51.50853,-0.12574"
t16861208-25			St Dunstans in the West	"51.50853,-0.12574"
t16861208-6			St. Anne Agnes	"51.50853,-0.12574"
t16870114-21			St. Martins in the Fields	"51.50853,-0.12574"
t16870114-4			St. Michael-Bashaw	"51.50853,-0.12574"
t16870114-7			St. Andrews Holbourn alias Ward	"51.50853,-0.12574"
t16870223-19	St. Giles's Cripplegate	"51.50853,-0.12574"		
t16870223-19	St. Giles's Cripplegate	"51.50853,-0.12574"		
t16870223-37	Hill Tavern in Westminster	"51.5,-0.11667"	St. Margaret Westminster	"51.499834,-0.126706"
