"ID","DATESTAMP"
"t17650710-43","7/10/1765"
"t17650710-48","7/10/1765"
"t17641212-39","12/12/1764"
"t17650417-1","4/17/1765"
"t17650417-13","4/17/1765"
"t17650417-16","4/17/1765"
"t17650710-50","7/10/1765"
"t17640728-58","7/28/1764"
"t17641212-6","12/12/1764"
"t17650918-69","9/18/1765"
"t17650918-7","9/18/1765"
"t17650417-30","4/17/1765"
"t17650918-20","9/18/1765"
"t17640912-20","9/12/1764"
"t17650417-41","4/17/1765"
"t17640912-3","9/12/1764"
"t17640912-31","9/12/1764"
"t17650116-33","1/16/1765"
"t17650417-52","4/17/1765"
"t17650522-10","5/22/1765"
"t17640912-54","9/12/1764"
"t17650227-20","2/27/1765"
"t17651016-19","10/16/1765"
"t17641017-10","10/17/1764"
"t17650227-22","2/27/1765"
"t17650918-42","9/18/1765"
"t17641017-20","10/17/1764"
"t17650522-27","5/22/1765"
"t17650918-65","9/18/1765"
"t17641017-23","10/17/1764"
"t17650522-38","5/22/1765"
"t17631207-29","12/7/1763"
"t17640222-62","2/22/1764"
"t17630114-31","1/14/1763"
"t17630114-34","1/14/1763"
"t17640502-14","5/2/1764"
"t17630223-1","2/23/1763"
"t17630223-13","2/23/1763"
"t17630706-5","7/6/1763"
"t17631207-53","12/7/1763"
"t17631207-54","12/7/1763"
"t17640502-19","5/2/1764"
"t17640502-24","5/2/1764"
"t17630223-27","2/23/1763"
"t17630706-6","7/6/1763"
"t17640502-33","5/2/1764"
"t17630914-10","9/14/1763"
"t17640502-52","5/2/1764"
"t17640502-54","5/2/1764"
"t17630413-2","4/13/1763"
"t17630914-18","9/14/1763"
"t17630914-25","9/14/1763"
"t17640502-84","5/2/1764"
"t17630413-25","4/13/1763"
"t17640607-35","6/7/1764"
"t17630914-47","9/14/1763"
"t17630914-55","9/14/1763"
"t17630914-63","9/14/1763"
"t17640607-1","6/7/1764"
"t17630914-73","9/14/1763"
"t17630914-75","9/14/1763"
"t17631019-11","10/19/1763"
"t17640502-7","5/2/1764"
"t17631019-29","10/19/1763"
"t17631019-3","10/19/1763"
"t17640222-34","2/22/1764"
"t17640222-35","2/22/1764"
"t17640222-37","2/22/1764"
"t17640607-27","6/7/1764"
"t17630518-8","5/18/1763"
"t17631019-34","10/19/1763"
"t17631019-40","10/19/1763"
"t17640502-51","5/2/1764"
"t17631019-5","10/19/1763"
"t17631019-6","10/19/1763"
"t17640222-48","2/22/1764"
"t17621208-34","12/8/1762"
"t17630706-20","7/6/1763"
"t17630706-24","7/6/1763"
"t17640222-50","2/22/1764"
"t17640222-55","2/22/1764"
"t17631207-25","12/7/1763"
"t17670429-9","4/29/1767"
"t17680224-54","2/24/1768"
"t17670603-25","6/3/1767"
"t17680413-11","4/13/1768"
"t17670909-64","9/9/1767"
"t17671209-44","12/9/1767"
"t17671209-47","12/9/1767"
"t17671209-5","12/9/1767"
"t17671209-57","12/9/1767"
"t17670603-44","6/3/1767"
"t17670909-75","9/9/1767"
"t17670909-76","9/9/1767"
"t17670909-79","9/9/1767"
"t17670909-8","9/9/1767"
"t17671209-80","12/9/1767"
"t17680706-15","7/6/1768"
"t17670715-10","7/15/1767"
"t17670909-80","9/9/1767"
"t17680413-55","4/13/1768"
"t17680413-6","4/13/1768"
"t17680114-37","1/14/1768"
"t17670715-32","7/15/1767"
"t17670715-33","7/15/1767"
"t17671021-32","10/21/1767"
"t17671021-37","10/21/1767"
"t17680224-16","2/24/1768"
"t17670715-41","7/15/1767"
"t17670715-43","7/15/1767"
"t17671021-38","10/21/1767"
"t17671021-45","10/21/1767"
"t17680224-22","2/24/1768"
"t17670715-55","7/15/1767"
"t17670715-8","7/15/1767"
"t17671209-19","12/9/1767"
"t17671209-24","12/9/1767"
"t17680224-3","2/24/1768"
"t17670909-2","9/9/1767"
"t17671209-34","12/9/1767"
"t17680518-44","5/18/1768"
"t17671209-41","12/9/1767"
"t17671209-43","12/9/1767"
"t17680224-44","2/24/1768"
"t17680413-48","4/13/1768"
"t17670429-65","4/29/1767"
"t17651211-19","12/11/1765"
"t17660409-19","4/9/1766"
"t17660903-46","9/3/1766"
"t17660903-53","9/3/1766"
"t17660409-28","4/9/1766"
"t17660903-62","9/3/1766"
"t17651211-38","12/11/1765"
"t17670218-11","2/18/1767"
"t17670218-12","2/18/1767"
"t17670218-17","2/18/1767"
"t17651211-44","12/11/1765"
"t17670218-2","2/18/1767"
"t17670218-28","2/18/1767"
"t17660409-48","4/9/1766"
"t17661022-11","10/22/1766"
"t17661022-13","10/22/1766"
"t17670218-48","2/18/1767"
"t17660116-21","1/16/1766"
"t17661022-29","10/22/1766"
"t17660116-27","1/16/1766"
"t17660514-1","5/14/1766"
"t17670429-44","4/29/1767"
"t17670429-53","4/29/1767"
"t17670429-56","4/29/1767"
"t17660514-20","5/14/1766"
"t17670218-9","2/18/1767"
"t17660219-1","2/19/1766"
"t17670429-31","4/29/1767"
"t17660514-41","5/14/1766"
"t17660514-8","5/14/1766"
"t17670429-6","4/29/1767"
"t17661217-25","12/17/1766"
"t17660702-25","7/2/1766"
"t17661217-31","12/17/1766"
"t17670429-35","4/29/1767"
"t17660702-35","7/2/1766"
"t17670218-33","2/18/1767"
"t17660219-51","2/19/1766"
"t17670115-17","1/15/1767"
"t17660219-66","2/19/1766"
"t17660903-28","9/3/1766"
"t17710410-53","4/10/1771"
"t17700711-56","7/11/1770"
"t17700425-29","4/25/1770"
"t17710116-31","1/16/1771"
"t17710515-25","5/15/1771"
"t17710515-4","5/15/1771"
"t17710515-42","5/15/1771"
"t17700425-51","4/25/1770"
"t17710703-16","7/3/1771"
"t17700425-54","4/25/1770"
"t17700425-69","4/25/1770"
"t17700912-51","9/12/1770"
"t17710703-55","7/3/1771"
"t17700425-72","4/25/1770"
"t17700425-86","4/25/1770"
"t17700425-87","4/25/1770"
"t17701024-18","10/24/1770"
"t17701024-31","10/24/1770"
"t17710220-54","2/20/1771"
"t17710220-7","2/20/1771"
"t17701024-7","10/24/1770"
"t17701205-37","12/5/1770"
"t17710410-12","4/10/1771"
"t17710410-13","4/10/1771"
"t17710703-64","7/3/1771"
"t17700711-14","7/11/1770"
"t17701205-45","12/5/1770"
"t17710410-20","4/10/1771"
"t17710515-9","5/15/1771"
"t17700711-15","7/11/1770"
"t17710410-3","4/10/1771"
"t17710703-54","7/3/1771"
"t17700711-30","7/11/1770"
"t17710116-24","1/16/1771"
"t17710410-32","4/10/1771"
"t17710410-37","4/10/1771"
"t17700711-34","7/11/1770"
"t17710410-43","4/10/1771"
