Year,Count
1674,2
1676,1
1678,3
1679,1
1680,1
1681,1
1682,2
1683,27
1684,27
1685,41
1686,22
1687,20
1688,13
1689,21
1690,19
1691,15
1692,8
1693,3
1694,12
1695,4
1696,4
1697,10
1698,9
1699,3
1700,6
1718,130
1719,165
1720,169
1721,198
1722,185
1723,204
1724,274
1725,318
1726,227
1727,206
1728,216
1729,248
1730,241
1731,227
1732,194
1733,208
1734,185
1735,210
1736,248
1737,213
1738,185
1739,205
1740,220
1741,250
1742,157
1743,200
1744,160
1745,127
1746,160
1747,121
1748,198
1749,247
1750,216
1751,183
1752,205
1753,214
1754,218
1755,178
1756,166
1757,177
1758,137
1759,138
1760,136
1761,154
1762,121
1763,216
1764,280
1765,234
1766,221
1767,271
1768,219
1769,210
1770,230
1771,307
1772,267
1773,281
1774,264
1775,201
1776,7
1781,1
1782,55
1783,168
1784,220
1785,229
1786,293
1787,325
1788,278
1789,265
1790,235
1791,194
1792,216
1793,164
1794,123
1795,131
1796,132
1797,130
1798,134
1799,123
1800,196
1801,201
1802,235
1803,198
1804,116
1805,189
1806,182
1807,171
1808,169
1809,207
1810,215
1811,206
1812,220
1813,250
1814,271
1815,319
1816,313
1817,438
1818,533
1819,592
1820,551
1821,441
1822,357
1823,353
1824,441
1825,480
1826,678
1827,704
1828,737
1829,837
1830,898
1831,758
1832,961
1833,605
1834,668
1835,735
1836,814
1837,782
1838,787
1839,768
1840,787
1841,652
1842,615
1843,608
1844,416
1845,400
1846,370
1847,433
1848,479
1849,357
1850,326
1851,284
1852,139
1853,131
1854,19
1855,24
1856,35
1857,17
1858,1
1895,1
