Year	Crime	Count
1683	robbery	1
1685	robbery	1
1686	robbery	1
1692	highwayRobbery	1
1695	robbery	1
1697	highwayRobbery	1
1700	highwayRobbery	1
1719	highwayRobbery	1
1720	highwayRobbery	2
1721	highwayRobbery	4
1721	robbery	2
1722	highwayRobbery	2
1723	highwayRobbery	2
1723	robbery	1
1724	highwayRobbery	1
1724	robbery	2
1725	highwayRobbery	3
1726	highwayRobbery	2
1727	highwayRobbery	3
1728	highwayRobbery	2
1728	robbery	1
1729	highwayRobbery	1
1729	robbery	4
1730	highwayRobbery	1
1730	robbery	1
1731	robbery	1
1732	highwayRobbery	4
1732	robbery	1
1734	highwayRobbery	2
1735	robbery	2
1736	highwayRobbery	1
1736	robbery	2
1737	highwayRobbery	1
1739	highwayRobbery	1
1739	robbery	4
1740	highwayRobbery	1
1740	robbery	1
1741	highwayRobbery	2
1741	robbery	2
1742	highwayRobbery	2
1742	robbery	1
1743	highwayRobbery	4
1743	robbery	2
1745	highwayRobbery	4
1746	robbery	1
1747	highwayRobbery	1
1747	robbery	1
1748	highwayRobbery	2
1748	robbery	1
1749	highwayRobbery	9
1749	robbery	4
1750	highwayRobbery	4
1750	robbery	2
1751	highwayRobbery	4
1752	highwayRobbery	1
1752	robbery	2
1753	highwayRobbery	2
1753	robbery	1
1754	highwayRobbery	2
1755	highwayRobbery	1
1755	robbery	2
1756	highwayRobbery	1
1756	robbery	1
1757	highwayRobbery	3
1757	robbery	2
1758	highwayRobbery	4
1759	highwayRobbery	3
1760	highwayRobbery	2
1761	robbery	2
1763	highwayRobbery	2
1763	robbery	3
1764	highwayRobbery	4
1765	highwayRobbery	2
1765	robbery	1
1766	highwayRobbery	2
1766	robbery	2
1767	highwayRobbery	2
1767	robbery	1
1768	highwayRobbery	3
1768	robbery	1
1769	highwayRobbery	3
1769	robbery	1
1770	robbery	1
1771	highwayRobbery	3
1772	highwayRobbery	5
1772	robbery	1
1773	highwayRobbery	5
1774	highwayRobbery	6
1774	robbery	2
1775	highwayRobbery	4
1775	robbery	1
1782	highwayRobbery	2
1783	highwayRobbery	9
1783	robbery	1
1784	highwayRobbery	9
1784	robbery	1
1785	highwayRobbery	11
1785	robbery	2
1786	highwayRobbery	10
1786	robbery	3
1787	highwayRobbery	7
1787	robbery	1
1788	highwayRobbery	7
1789	highwayRobbery	9
1789	robbery	1
1790	highwayRobbery	8
1790	robbery	1
1791	highwayRobbery	7
1792	highwayRobbery	8
1792	robbery	3
1793	highwayRobbery	2
1793	robbery	2
1794	robbery	3
1796	highwayRobbery	2
1796	robbery	1
1797	highwayRobbery	1
1797	robbery	1
1798	highwayRobbery	2
1799	highwayRobbery	1
1799	robbery	1
1800	highwayRobbery	2
1800	robbery	2
1801	highwayRobbery	1
1802	highwayRobbery	15
1802	robbery	1
1803	highwayRobbery	8
1804	highwayRobbery	1
1804	robbery	2
1805	highwayRobbery	1
1805	robbery	1
1807	robbery	1
1808	highwayRobbery	2
1808	robbery	3
1809	highwayRobbery	3
1810	highwayRobbery	6
1810	robbery	1
1811	highwayRobbery	9
1812	highwayRobbery	3
1812	robbery	1
1813	highwayRobbery	4
1813	robbery	4
1814	highwayRobbery	6
1814	robbery	2
1815	highwayRobbery	7
1815	robbery	2
1816	highwayRobbery	11
1816	robbery	1
1817	highwayRobbery	7
1817	robbery	1
1818	highwayRobbery	4
1818	robbery	1
1819	highwayRobbery	2
1819	robbery	2
1820	highwayRobbery	11
1820	robbery	3
1821	highwayRobbery	3
1822	highwayRobbery	7
1822	robbery	1
1823	highwayRobbery	2
1823	robbery	2
1824	highwayRobbery	4
1824	robbery	1
1825	highwayRobbery	6
1826	highwayRobbery	3
1826	robbery	3
1827	highwayRobbery	5
1827	robbery	4
1828	highwayRobbery	3
1828	robbery	5
1829	highwayRobbery	1
1829	robbery	4
1830	robbery	3
1831	robbery	7
1833	robbery	2
1834	robbery	3
1835	robbery	3
1836	robbery	3
1837	robbery	2
1838	robbery	13
1839	robbery	9
1840	robbery	8
1841	robbery	6
1842	robbery	18
1843	robbery	7
1844	robbery	8
1845	robbery	12
1846	robbery	22
1847	robbery	20
1848	robbery	23
1849	robbery	14
1850	robbery	20
1851	robbery	25
1852	robbery	4
1853	robbery	9
1855	robbery	2
1856	robbery	7
1857	robbery	5
