Royal Exchange, London, England
Strand, London, England
Friday-street, London, England
St. Katherines Lane near Tower-Hill, London, England
St. Botolphs Aldgate, London, England
St Giles's, London, England
St. Martins in the fields, London, England
White-chappel, London, England
Goodmans Fields, London, England
Armitage-stairs, London, England
St. Dunstan's in the East, London, England
St. Martins Parish, London, England
the Crown in the Old Palace-Yard Westminster, London, England
Alhollows Barkin, London, England
Cornhill, London, England
Hornzey, London, England
Little St. Bartholomews, London, England
Amen Corner, London, England
Amen Corner, London, England
St. Magnes parish, London, England
Fetter-lane, London, England
Chelsy, London, England
Shoreditch, London, England
Woodstreet, London, England
Fleet street, London, England
Branford, London, England
Stepney, London, England
St. Michaels Cornhill, London, England
Exchange, London, England
Stepney, London, England
St. Leonard Shorditch, London, England
St. Lawrence Jury, London, England
St. Dunstans in the West, London, England
St. Ann Agnes, London, England
St. Andrews Holbourn, London, England
St Dunstans in the West, London, England
New Fish street, London, England
the Roe-Buck in Fleet-street, London, England
Stepney, London, England
Lombard-street, London, England
St. Andrew Holborn, London, England
Coleman-street, London, England
St. Mary Woolnoth, London, England
St. Giles's in the fields, London, England
Ax in Alderman-bury, London, England
White-Chappel, London, England
St. Mary Wool-church, London, England
St. Laurence-lane, London, England
St. Mildred, London, England
St. Sepulchres, London, England
St. Margarets, Westminster, London, England
Wilsdon, London, England
St. Andrews Holborn, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Edmunds Lumbard street, London, England
Lumbard-street, London, England
Stepney, London, England
St. Martins in the Fields, London, England
St. James Midd, London, England
St. Dunstans in the West, London, England
Hellingdon, London, England
Hellingdon, London, England
St. Dunstans in the West, London, England
St. Dunstans in the West, London, England
St. Giles's Cripple-gate, London, England
St. Sepulchres, London, England
St Martins in the Fields, London, England
St. Andrews Holborn, London, England
St. Giles's Cripple-Gate, London, England
St. Pauls Covent-Garden, London, England
St. Pauls Covent-Garden, London, England
St. Andrews Holbourn, London, England
St. James's Clarkenwell, London, England
St. Martins, London, England
St. Gregories, London, England
St. Pauls Church-Yard, London, England
St. Mary Marfellon, London, England
St. Bennedict, London, England
St. Buttolph, London, England
St. Matfellon alias White Chappell, London, England
St. Matfellon alias White Chappell, London, England
St. Martins in the Field, London, England
St. Giles's in the Fields, London, England
St. Alhallows Lumbard street, London, England
Safforn-Hill, London, England
Northern-Falgate, London, England
St. Andrew's Holbourn, London, England
Red-Lyon Square, London, England
St. Anne Agnes, London, England
St. Martins in the Fields, London, England
St. Michael-Bashaw, London, England
St. Andrews Holbourn alias Ward, London, England
St. Giles's Cripplegate, London, England
St. Giles Cripplegate, London, England
St. Margaret Westminster, London, England
Hill Tavern in Westminster, London, England
St. Pancrass in the County of Middlesex, London, England
St. James's Westminster, London, England
St. Martins in the Fields, London, England
Thistleworth, London, England
St. Andrews Holbourn, London, England
St. Edmunds the King, in the Ward of Longhorne, London, England
St. Botolphs Aldgate, London, England
Mark-Lane, London, England
St. Alhollows Barking, London, England
Thistleworth, London, England
St. Andrews Holbourn, London, England
Stepney, London, England
St. Dunstans in the West, London, England
Fulham, London, England
Stepney, London, England
Hornsey, London, England
St. Matin's in the Fields, London, England
St. Nicholas Cole-Abby, London, England
St. Botolph Bishopsgate, London, England
St. Giles's Church, London, England
Thames, London, England
St. Andrew's Holbourn, London, England
St. Giles's in the Fields, London, England
St. Clement's Danes, London, England
